北京,东城 西城 崇文 宣武 朝阳 海淀 丰台 房山 通州 顺义 昌平 大兴 怀柔 平谷 密云 延庆 门头沟 石景山 
天津,和平 河东 河西 南开 河北 红桥 塘沽 汉沽 大港 东丽 西青 北辰 津南 武清 宝坻 静海 宁河 蓟县 
河北,辛集 藁城 晋州 新乐 鹿泉 平山 井陉 栾城 正定 行唐 灵寿 高邑 赵 赞皇 深泽 无极 元氏 唐山 遵化 迁安 迁西 滦南 玉田 唐海 乐亭 滦 昌黎 卢龙 抚宁 邯郸 武安 邯郸 永年 曲周 馆陶 魏县 成安 大名 涉县 鸡泽 邱县 广平 肥乡 临漳 磁县 邢台 南宫 沙河 邢台 柏乡 任 清河 宁晋 威县 隆尧 临城 广宗 临西 内丘 平乡 巨鹿 新河 南和 保定 涿州 定州 安国 满城 清苑 涞水 阜平 徐水 定兴 唐 高阳 容城 涞源 望都 安新 易 曲阳 蠡县 顺平 博野 雄县 宣化 康保 张北 阳原 赤城 沽源 怀安 怀来 崇礼 尚义 蔚 涿鹿 万全 承德 承德 兴隆 隆化 平泉 滦平 沧州 泊头 任丘 黄骅 河间 沧县 青县 献县 东光 海兴 盐山 肃宁 南皮 吴桥 廊坊 霸州 三河 固安 永清 香河 大城 文安 衡水 冀州 深州 饶阳 枣强 故城 阜城 安平 武邑 景 武强 石家庄 张家口 高碑店 秦皇岛
山西,太原 古交 阳曲 清徐 娄烦 大同 大同 天镇 灵丘 阳高 左云 广灵 浑源 阳泉 平定 盂 长治 潞城 长治 长子 平顺 襄垣 沁源 屯留 黎城 武乡 沁县 壶关 晋城 高平 泽州 陵川 阳城 沁水 朔州 山阴 右玉 应县 怀仁 晋中 介休 昔阳 灵石 祁县 左权 寿阳 太谷 和顺 平遥 榆社 运城 河津 永济 闻喜 新绛 平陆 垣曲 绛 稷山 芮城 夏县 万荣 临猗 忻州 原平 代县 神池 五寨 五台 偏关 宁武 静乐 繁峙 河曲 保德 定襄 岢岚 临汾 侯马 霍州 汾西 吉 安泽 大宁 浮山 古县 隰县 襄汾 翼城 永和 乡宁 曲沃 洪洞 蒲县 吕梁 孝义 汾阳 文水 中阳 兴 临县 方山 柳林 岚县 交口 交城 石楼 
内蒙古,武川 包头 固阳 乌海 赤峰 宁城 林西 敖汉旗　开鲁 通辽 库伦旗　奈曼旗　乌审旗　杭锦旗　根河 阿荣旗　五原 磴口 丰镇 兴和 卓资 商都 凉城 化德 多伦 正蓝旗　镶黄旗兴安盟　突泉 托克托 清水河 喀喇沁旗　巴林左旗　翁牛特旗　巴林右旗　扎鲁特旗准格尔旗　鄂托克旗　达拉特旗　满洲里 牙克石 扎兰屯 杭锦后旗四子王旗　阿巴嘎旗　太仆寺旗　正镶白旗　阿尔山 扎赉特旗　阿拉善盟额济纳旗呼和浩特 和林格尔 土默特左旗　土默特右旗　克什克腾旗　霍林郭勒 鄂尔多斯 伊金霍洛旗　鄂托克前旗　呼伦贝尔 额尔古纳 陈巴尔虎旗巴彦淖尔 乌拉特中旗　乌拉特前旗　乌拉特后旗　乌兰察布 锡林浩特 二连浩特 苏尼特左旗　苏尼特右旗　锡林郭勒盟　乌兰浩特 阿拉善左旗阿拉善右旗　阿鲁科尔沁旗　新巴尔虎左旗　新巴尔虎右旗　鄂伦春自治旗　西乌珠穆沁旗东乌珠穆沁旗　科尔沁左翼中旗　科尔沁左翼后旗　鄂温克族自治旗察哈尔右翼前旗　察哈尔右翼中旗　察哈尔右翼后旗　科尔沁右翼前旗科尔沁右翼中旗　达尔罕茂明安联合旗　莫力达瓦达斡尔族自治旗　
辽宁,沈阳 新民 法库 辽中 康平 大连 庄河 长海 鞍山 海城 台安 抚顺 抚顺 本溪 丹东 东港 凤城 锦州 凌海 北宁 黑山 义 营口 盖州 阜新 彰武 辽阳 灯塔 辽阳 盘锦 盘山 大洼 铁岭 开原 铁岭 昌图 西丰 朝阳 凌源 北票 朝阳 建平 兴城 绥中 建昌 大石桥 瓦房店 普兰店 调兵山 葫芦岛 岫岩满族 清原满族 新宾满族 阜新蒙古族 宽甸满族 桓仁满族 本溪满族 喀喇沁左翼蒙古族 
吉林,长春 九台 榆树 德惠 农安 吉林 舒兰 桦甸 蛟河 磐石 永吉 四平 双辽 梨树 辽源 东辽 东丰 通化 集安 通化 辉南 柳河 白山 临江 靖宇 抚松 江源 松原 乾安 长岭 扶余 白城 大安 洮南 镇赉 通榆 延吉 图们 敦化 龙井 珲春 和龙 安图 汪清 公主岭 梅河口 伊通满族 长白朝鲜族 延边朝鲜族 前郭尔罗斯蒙古族 
黑龙江,阿城 尚志 双城 五常 方正 宾 依兰 巴彦 通河 木兰 延寿 讷河 富裕 拜泉 甘南 依安 克山 泰来 克东 龙江 鹤岗 萝北 绥滨 集贤 宝清 友谊 饶河 鸡西 密山 虎林 鸡东 大庆 林甸 肇州 肇源 漠河 伊春 铁力 嘉荫 宁安 海林 穆棱 林口 东宁 同江 富锦 桦川 抚远 桦南 汤原 勃利 黑河 北安 逊克 嫩江 孙吴 绥化 安达 肇东 海伦 绥棱 兰西 明水 青冈 庆安 望奎 呼玛 塔河 七台河 双鸭山 牡丹江 佳木斯 绥芬河 哈尔滨 齐齐哈尔 五大连池 杜尔伯特蒙古族 
上海,黄浦 卢湾 徐汇 长宁 静安 普陀 闸北 虹口 杨浦 宝山 闵行 嘉定 松江 金山 青浦 南汇 奉贤 崇明 浦东新 
江苏,　南京 溧水 高淳 无锡 江阴 宜兴 徐州 邳州 新沂 铜山 睢宁 沛 丰 常州 金坛 溧阳 苏州 常熟 太仓 昆山 吴江 南通 如皋 通州 海门 启东 海安 如东 东海 灌云 赣榆 灌南 淮安 涟水 洪泽 金湖 盱眙 盐城 东台 大丰 建湖 响水 阜宁 射阳 滨海 扬州 高邮 江都 仪征 宝应 镇江 丹阳 扬中 句容 泰州 泰兴 姜堰 靖江 兴化 宿迁 沭阳 泗阳 泗洪 连云港 张家港 
浙江,杭州 建德 富阳 临安 桐庐 淳安 宁波 余姚 慈溪 奉化 宁海 象山 温州 瑞安 乐清 永嘉 洞头 平阳 苍南 文成 泰顺 嘉兴 海宁 平湖 桐乡 嘉善 海盐 湖州 长兴 德清 安吉 绍兴 诸暨 上虞 嵊州 绍兴 新昌 金华 兰溪 义乌 东阳 永康 武义 浦江 磐安 衢州 江山 龙游 常山 开化 舟山 岱山 嵊泗 台州 临海 玉环 天台 仙居 三门 丽水 龙泉 缙云 青田 云和 遂昌 松阳 庆元 景宁畲族 
